source,native_width,native_height,anchor,alpha_bounds_1x,usage
assets/tiles/alley_cracked_cracked_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/alley_cracked_cracked_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/alley_cracked_hairline_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/alley_cracked_hairline_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/alley_draft.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_broken_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_broken_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_cracked_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_cracked_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_hairline_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/road_cracked_hairline_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_broken_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_broken_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_cracked_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_cracked_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_hairline_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/tiles/sidewalk_cracked_hairline_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
