nappy run log  2026-09-19T17:30:20  version v0.13.0-22-g0a8bca37
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_side_b.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_back_b.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_c.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_side_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_side.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/father_carrying_side_c.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front_diagonal.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_front_diagonal_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_carrying_back_diagonal_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/pram_front.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/rig/mother_front_diagonal_a.png read from disk in 0.1 ms
   0.0  texture  atlas stroller ready: 65 pictures in 1746x48, 23.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas head_indicators ready: 5 pictures in 128x28, 22.6 ms from request (0.0 ms packed off the main thread)
   0.0  texture  ground packed: 66 sources over 65 pictures into 2035x100 in 0.7 ms
   0.0  texture  ground packed: 66 sources over 65 pictures into 2035x100 in 0.7 ms
   0.0  texture  atlas stroller released after 52567.4 ms drawn from
   0.0  texture  atlas head_indicators released after 52567.4 ms drawn from
   0.0  plan     finale: tunnel via 3 calm, 135 cells | bridge via 3 calm, 121 cells | 32 open streets, 685 placements
   0.0  texture  atlas decoration ready: 12 pictures in 423x54, 583.2 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/burnt_out_car ready: 2 pictures in 81x48, 217.4 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/barricade ready: 1 pictures in 26x32, 216.7 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/collapsed_frontage ready: 1 pictures in 26x32, 216.5 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/impact_crater ready: 1 pictures in 66x66, 216.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/army_truck ready: 5 pictures in 246x52, 212.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/unmarked_van ready: 15 pictures in 426x52, 211.7 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/roadblock ready: 4 pictures in 91x46, 210.9 ms from request (0.0 ms packed off the main thread)
   0.0  taken    'abduction' takes a bystander
   0.0  texture  atlas event/none ready: 0 pictures in 1x2, 0.4 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/none released after 3699.2 ms drawn from
   0.0  taken    'abduction' takes a bystander
   0.0  texture  atlas event/burnt_out_car released after 16274.0 ms drawn from
   0.0  texture  atlas event/barricade released after 16274.0 ms drawn from
   0.0  texture  atlas event/collapsed_frontage released after 16274.0 ms drawn from
   0.0  texture  atlas event/impact_crater released after 16274.0 ms drawn from
   0.0  texture  atlas event/army_truck released after 16274.0 ms drawn from
   0.0  texture  atlas event/unmarked_van released after 16274.0 ms drawn from
   0.0  texture  atlas event/roadblock released after 16274.0 ms drawn from
   0.0  plan     finale: tunnel via 3 calm, 135 cells | bridge via 3 calm, 121 cells | 32 open streets, 685 placements
   0.0  texture  atlas event/burnt_out_car ready: 2 pictures in 81x48, 65.6 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/barricade ready: 1 pictures in 26x32, 65.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/collapsed_frontage ready: 1 pictures in 26x32, 64.9 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/impact_crater ready: 1 pictures in 66x66, 64.5 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/army_truck ready: 5 pictures in 246x52, 60.6 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/unmarked_van ready: 15 pictures in 426x52, 60.5 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/roadblock ready: 4 pictures in 91x46, 60.0 ms from request (0.0 ms packed off the main thread)
   0.0  texture  atlas event/none ready: 0 pictures in 1x2, 0.5 ms from request (0.0 ms packed off the main thread)
   0.0  taken    'abduction' takes a bystander
   0.0  texture  atlas event/none released after 3732.7 ms drawn from
