nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  cross    stepped into the road at (18,100), at a zebra
   0.0  cross    stepped into the road at (17,102), at a zebra
   0.0  near     market_stall at (10,103), 64px, exc 0, in 0.0/s (crowd 0.0, events 1.0), sleep 10
   0.0  cross    stepped into the road at (11,101), mid-block
   0.0  shot     asked for a picture at (0,101) | exc 0, sleep 9 | playing
   0.0  near     delivery_van at (1,94), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 9
   0.0  near     delivery_van at (4,94), 150px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 9
   0.0  near     delivery_van at (1,94), 81px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 9
   0.0  cross    stepped into the road at (2,96), mid-block
   0.0  near     delivery_van at (4,94), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 10
   0.0  near     delivery_van at (1,94), 44px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 10
   0.0  near     car_accident at (3,80), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 11
   0.0  near     delivery_van at (10,85), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 12
   0.0  cross    stepped into the road at (6,86), mid-block
   0.0  near     delivery_van at (10,88), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 12
   0.0  near     delivery_van at (10,85), 81px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 13
   0.0  near     delivery_van at (10,88), 81px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 13
   0.0  near     delivery_van at (10,85), 44px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 13
   0.0  cross    stepped into the road at (16,83), mid-block
   0.0  near     cafe_tables at (15,80), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.2), sleep 14
   0.0  ahead    pigeon_flock crosses 184px in front of her at (15,74)
   0.0  cross    stepped into the road at (15,73), at a zebra
   0.0  near     delivery_van at (15,66), 149px, exc 0, in 0.0/s (crowd 2.6, events 0.0), sleep 16
   0.0  near     delivery_van at (15,66), 81px, exc 0, in 0.0/s (crowd 2.0, events 0.0), sleep 16
   0.0  cross    stepped into the road at (16,68), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (16,68) | exc 0, in 0.0/s (crowd 6.0, events 0.0), sleep 16
   0.0  cue      the mark over her head: soon for 0.0s (2.1s of it on the road) | a car, and she is in the road
   0.0  near     moving_van at (10,60), 120px, exc 0, in 0.0/s (crowd 38.9, events 0.0), sleep 18
   0.0  near     moving_van at (10,60), 65px, exc 0, in 0.0/s (crowd 9.2, events 0.0), sleep 18
   0.0  cross    stepped into the road at (12,59), mid-block
   0.0  near     car_accident at (3,52), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 19
   0.0  turn     doubled back 180°
   0.0  crowd    a car sounded its horn at her in the road at (16,56) | exc 0, in 0.0/s (crowd 2.9, events 0.0), sleep 21
   0.0  cross    stepped into the road at (16,56), at a zebra
   0.0  near     cafe_tables at (19,52), 63px, exc 0, in 0.0/s (crowd 4.9, events 0.5), sleep 21
   0.0  near     delivery_van at (18,48), 150px, exc 0, in 0.0/s (crowd 2.2, events 6.7), sleep 22
   0.0  crowd    a car sounded its horn at her in the road at (17,52) | exc 0, in 0.0/s (crowd 0.9, events 7.5), sleep 22
   0.0  near     delivery_van at (18,48), 82px, exc 0, in 0.0/s (crowd 13.4, events 0.0), sleep 22
   0.0  cue      the mark over her head: soon for 0.0s (4.9s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (15,45), at a zebra
   0.0  near     cafe_tables at (10,43), 63px, exc 0, in 0.0/s (crowd 0.0, events 0.4), sleep 23
   0.0  near     moving_van at (4,38), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 24
   0.0  cross    stepped into the road at (3,41), mid-block
   0.0  near     moving_van at (1,38), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 24
   0.0  near     moving_van at (4,38), 65px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 24
   0.0  ahead    loose_dog comes at her from 0px in front of her at (3,40)
   0.0  near     leaf_blower at (1,33), 199px, exc 0, in 0.0/s (crowd 0.0, events 1.1), sleep 24
   0.0  near     loose_dog (telegraph) at (3,34), 139px, exc 0, in 0.0/s (crowd 0.0, events 2.6), sleep 24
   0.0  near     moving_van at (1,38), 64px, exc 0, in 0.0/s (crowd 0.0, events 3.4), sleep 24
   0.0  near     loose_dog (telegraph) at (3,36), 76px, exc 0, in 0.0/s (crowd 0.0, events 10.1), sleep 25
   0.0  near     loose_dog (telegraph) at (3,36), 40px, exc 0, in 0.0/s (crowd 0.0, events 13.9), sleep 25
   0.0  near     loose_dog (telegraph) at (3,37), 19px, exc 0, in 0.0/s (crowd 0.0, events 15.8), sleep 25
   0.0  near     leaf_blower at (1,33), 109px, exc 0, in 0.0/s (crowd 0.0, events 18.7), sleep 25
   0.0  near     leaf_blower at (1,33), 59px, exc 0, in 0.0/s (crowd 0.0, events 14.4), sleep 25
   0.0  near     leaf_blower at (1,33), 32px, exc 0, in 0.0/s (crowd 2.6, events 9.8), sleep 25
   0.0  near     market_stall at (10,29), 63px, exc 0, in 0.0/s (crowd 0.1, events 1.3), sleep 27
