nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  near     delivery_van at (155,66), 81px, exc 0, in 0.0/s (crowd 13.0, events 0.0), sleep 38
   0.0  near     delivery_van at (158,66), 82px, exc 0, in 0.0/s (crowd 15.8, events 0.0), sleep 38
   0.0  near     delivery_van at (155,66), 44px, exc 0, in 0.0/s (crowd 16.1, events 0.0), sleep 38
   0.0  crowd    a car sounded its horn at her in the road at (156,70) | exc 0, in 0.0/s (crowd 2.6, events 0.0), sleep 39
   0.0  cue      the mark over her head: soon for 0.0s (9.5s of it on the road) | a car, and she is in the road
   0.0  near     car_accident at (157,80), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 40
   0.0  near     car_accident at (157,80), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 40
   0.0  near     scaffolding at (150,75), 120px, exc 0, in 0.0/s (crowd 2.3, events 0.0), sleep 41
   0.0  near     scaffolding at (150,75), 66px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 41
   0.0  near     skip at (150,71), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 41
   0.0  cross    stepped into the road at (151,73), mid-block
   0.0  near     skip at (150,71), 65px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 41
   0.0  near     car_accident at (143,80), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 43
   0.0  ahead    cat_dash crosses 332px in front of her at (144,79)
   0.0  near     car_accident at (143,80), 65px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 43
   0.0  cross    stepped into the road at (143,79), mid-block
   0.0  near     scaffolding at (136,75), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 44
   0.0  near     skip at (136,71), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 44
   0.0  cross    stepped into the road at (138,73), mid-block
   0.0  near     scaffolding at (136,75), 65px, exc 0, in 0.0/s (crowd 0.6, events 0.0), sleep 44
   0.0  near     skip at (136,71), 66px, exc 0, in 0.0/s (crowd 1.8, events 0.0), sleep 45
   0.0  near     delivery_van at (130,80), 150px, exc 0, in 0.0/s (crowd 58.2, events 0.0), sleep 46
   0.0  near     delivery_van at (127,80), 148px, exc 0, in 0.0/s (crowd 24.5, events 0.0), sleep 46
   0.0  cross    stepped into the road at (129,77), mid-block
   0.0  near     delivery_van at (130,80), 82px, exc 0, in 0.0/s (crowd 10.2, events 0.0), sleep 46
   0.0  near     delivery_van at (127,80), 81px, exc 0, in 0.0/s (crowd 13.2, events 0.0), sleep 46
   0.0  near     delivery_van at (130,80), 45px, exc 0, in 0.0/s (crowd 12.6, events 0.0), sleep 46
   0.0  near     dog_walker at (129,88), 104px, exc 0, in 0.0/s (crowd 78.6, events 1.1), sleep 47
   0.0  near     dog_walker at (129,88), 57px, exc 0, in 0.0/s (crowd 40.8, events 16.1), sleep 47
   0.0  near     dog_walker at (128,88), 31px, exc 0, in 0.0/s (crowd 0.0, events 13.6), sleep 47
   0.0  cross    stepped into the road at (132,87), mid-block
   0.0  near     market_stall at (136,89), 63px, exc 0, in 0.0/s (crowd 0.0, events 0.9), sleep 49
   0.0  near     homeless_yeller at (140,92), 210px, exc 0, in 0.0/s (crowd 0.0, events 4.2), sleep 49
   0.0  near     homeless_yeller at (140,91), 114px, exc 0, in 0.0/s (crowd 0.0, events 3.4), sleep 49
   0.0  cross    stepped into the road at (142,90), mid-block
   0.0  near     moving_van at (141,94), 120px, exc 0, in 0.0/s (crowd 0.0, events 10.7), sleep 50
   0.0  near     moving_van at (144,94), 120px, exc 0, in 0.0/s (crowd 0.0, events 11.5), sleep 50
   0.0  near     moving_van at (141,94), 66px, exc 0, in 0.0/s (crowd 0.0, events 13.4), sleep 50
   0.0  near     moving_van at (144,94), 65px, exc 0, in 0.0/s (crowd 0.0, events 13.4), sleep 50
   0.0  crowd    a car sounded its horn at her in the road at (142,96) | exc 0, in 0.0/s (crowd 0.0, events 8.4), sleep 51
   0.0  path     onto the corridor at (142,98), after 0.0s off it
   0.0  path     off the corridor at (141,100), after 0.0s on it
   0.0  cue      the mark over her head: soon for 0.0s (1.6s of it on the road) | a car, and she is in the road
   0.0  path     onto the corridor at (141,104), after 0.0s off it
   0.0  near     homeless_yeller at (145,115), 209px, exc 0, in 0.0/s (crowd 12.6, events 0.0), sleep 53
   0.0  path     off the corridor at (141,112), after 0.0s on it
   0.0  cross    stepped into the road at (141,114), at a zebra
   0.0  ahead    cat_dash crosses 332px in front of her at (141,114)
   0.0  near     delivery_van at (141,120), 150px, exc 0, in 0.0/s (crowd 0.0, events 3.0), sleep 54
   0.0  path     onto the corridor at (141,116), after 0.0s off it
   0.0  near     homeless_yeller at (145,117), 115px, exc 0, in 0.0/s (crowd 3.0, events 2.9), sleep 54
   0.0  crowd    a car sounded its horn at her in the road at (142,117) | exc 0, in 0.0/s (crowd 4.4, events 3.0), sleep 54
   0.0  cross    stepped into the road at (142,117), at a zebra
   0.0  near     delivery_van at (141,120), 82px, exc 0, in 0.0/s (crowd 12.0, events 3.8), sleep 54
   0.0  crowd    a car sounded its horn at her in the road at (143,118) | exc 0, in 0.0/s (crowd 10.4, events 5.3), sleep 54
   0.0  near     homeless_yeller at (145,118), 63px, exc 0, in 0.0/s (crowd 26.5, events 7.0), sleep 54
   0.0  crowd    a car sounded its horn at her in the road at (143,119) | exc 0, in 0.0/s (crowd 24.0, events 7.5), sleep 54
   0.0  cue      the mark over her head: soon for 0.0s (1.0s of it on the road) | a car, and she is in the road
   0.0  path     switched routes at (144,120), branch [7] -> [4]
   0.0  near     cat_dash at (145,124), 118px, exc 0, in 0.0/s (crowd 17.3, events 18.3), sleep 55
   0.0  cross    stepped into the road at (144,128), at a zebra
   0.0  path     off the corridor at (144,140), after 0.0s on it
   0.0  cross    stepped into the road at (144,142), at a zebra
   0.0  near     leaf_blower at (138,145), 200px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 58
   0.0  cross    stepped into the road at (143,146), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (143,146) | exc 0, in 0.0/s (crowd 0.0, events 2.4), sleep 58
   0.0  near     cafe_tables at (141,150), 64px, exc 0, in 0.0/s (crowd 12.8, events 1.4), sleep 59
   0.0  near     cafe_tables at (145,150), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.2), sleep 59
   0.0  cue      the mark over her head: soon for 0.0s (2.0s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (145,156), at a zebra
   0.0  ahead    loose_dog comes at her from 0px in front of her at (147,157)
   0.0  crowd    a car sounded its horn at her in the road at (148,157) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 60
   0.0  near     market_stall at (150,159), 64px, exc 0, in 0.0/s (crowd 17.9, events 2.4), sleep 61
   0.0  near     loose_dog (telegraph) at (153,157), 138px, exc 0, in 0.0/s (crowd 21.4, events 16.5), sleep 61
   0.0  near     loose_dog (telegraph) at (152,157), 75px, exc 0, in 0.0/s (crowd 22.9, events 17.4), sleep 61
   0.0  near     loose_dog (telegraph) at (152,157), 40px, exc 0, in 0.0/s (crowd 23.2, events 16.7), sleep 61
   0.0  near     loose_dog (telegraph) at (151,157), 21px, exc 0, in 0.0/s (crowd 23.2, events 15.8), sleep 61
   0.0  cue      the mark over her head: soon for 0.0s (3.6s of it on the road) | a car, and she is in the road
   0.0  crowd    a car sounded its horn at her in the road at (157,157) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 62
   0.0  turn     doubled back 270°
   0.0  cue      the mark over her head: soon for 0.0s (1.3s of it on the road) | a car, and she is in the road
   0.0  shot     asked for a picture at (159,159) | exc 0, sleep 62 | playing
   0.0  cross    stepped into the road at (153,157), mid-block
   0.0  near     market_stall at (150,155), 64px, exc 0, in 0.0/s (crowd 0.0, events 2.9), sleep 63
   0.0  near     skip at (136,155), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 64
   0.0  near     scaffolding at (136,159), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 65
   0.0  near     skip at (136,155), 66px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 65
   0.0  near     skip at (136,155), 36px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 65
   0.0  near     skip at (127,150), 120px, exc 0, in 0.0/s (crowd 11.3, events 0.0), sleep 66
   0.0  near     skip at (127,150), 65px, exc 0, in 0.0/s (crowd 5.4, events 0.0), sleep 67
   0.0  near     scaffolding at (131,150), 119px, exc 0, in 0.0/s (crowd 7.9, events 0.0), sleep 67
   0.0  cross    stepped into the road at (128,151), mid-block
   0.0  path     onto the corridor at (126,145), after 0.0s off it
   0.0  ahead    loose_dog comes at her from 0px in front of her at (118,145)
   0.0  path     off the corridor at (117,145), after 0.0s on it
   0.0  near     delivery_van at (116,150), 150px, exc 0, in 0.0/s (crowd 2.9, events 0.0), sleep 69
   0.0  cross    stepped into the road at (115,146), mid-block
   0.0  near     delivery_van at (113,150), 150px, exc 0, in 0.0/s (crowd 0.0, events 1.5), sleep 70
   0.0  near     loose_dog (telegraph) at (111,145), 139px, exc 0, in 0.0/s (crowd 0.0, events 2.5), sleep 70
   0.0  near     delivery_van at (116,150), 82px, exc 0, in 0.0/s (crowd 0.0, events 2.3), sleep 70
   0.0  near     delivery_van at (113,150), 82px, exc 0, in 0.0/s (crowd 0.0, events 1.4), sleep 70
   0.0  near     delivery_van at (113,150), 45px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 70
   0.0  cross    stepped into the road at (112,156), at a zebra
   0.0  near     car_accident at (108,157), 120px, exc 0, in 0.0/s (crowd 36.1, events 0.0), sleep 71
   0.0  near     delivery_van at (113,150), 149px, exc 0, in 0.0/s (crowd 4.8, events 0.0), sleep 72
   0.0  near     delivery_van at (116,150), 149px, exc 0, in 0.0/s (crowd 21.0, events 0.0), sleep 72
   0.0  cross    stepped into the road at (114,153), mid-block
   0.0  near     delivery_van at (113,150), 82px, exc 0, in 0.0/s (crowd 5.4, events 0.0), sleep 72
   0.0  near     delivery_van at (116,150), 82px, exc 0, in 0.0/s (crowd 5.4, events 0.0), sleep 72
   0.0  near     delivery_van at (113,150), 45px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 73
   0.0  near     delivery_van at (108,144), 150px, exc 0, in 0.0/s (crowd 4.9, events 0.0), sleep 73
   0.0  path     onto the corridor at (112,145), after 0.0s off it
   0.0  path     off the corridor at (111,145), after 0.0s on it
   0.0  near     delivery_van at (108,141), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 74
   0.0  near     delivery_van at (108,144), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 74
   0.0  near     leaf_blower at (105,141), 199px, exc 0, in 0.0/s (crowd 0.0, events 0.2), sleep 74
   0.0  near     delivery_van at (108,144), 44px, exc 0, in 0.0/s (crowd 0.0, events 1.7), sleep 74
   0.0  cross    stepped into the road at (101,145), at a zebra
   0.0  near     cafe_tables at (99,150), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 76
   0.0  near     leaf_blower at (91,159), 200px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 77
   0.0  near     market_stall at (94,155), 64px, exc 0, in 0.0/s (crowd 0.0, events 17.6), sleep 77
   0.0  near     market_stall at (94,159), 64px, exc 0, in 0.0/s (crowd 0.0, events 20.1), sleep 77
   0.0  near     leaf_blower at (91,159), 108px, exc 0, in 0.0/s (crowd 0.0, events 19.4), sleep 77
   0.0  near     leaf_blower at (91,159), 59px, exc 0, in 0.0/s (crowd 0.0, events 20.6), sleep 78
   0.0  near     leaf_blower at (91,159), 32px, exc 0, in 0.0/s (crowd 0.0, events 6.2), sleep 78
   0.0  near     moving_van at (80,158), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 79
   0.0  near     moving_van at (80,155), 119px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 79
   0.0  near     moving_van at (80,155), 65px, exc 0, in 0.0/s (crowd 41.1, events 0.0), sleep 79
   0.0  near     moving_van at (80,158), 65px, exc 0, in 0.0/s (crowd 20.2, events 0.0), sleep 79
   0.0  ahead    cat_dash crosses 332px in front of her at (79,156)
   0.0  near     cafe_tables at (77,155), 63px, exc 0, in 0.0/s (crowd 15.7, events 0.2), sleep 80
   0.0  turn     doubled back 90°
   0.0  near     moving_van at (80,155), 120px, exc 0, in 0.0/s (crowd 23.6, events 0.0), sleep 79
   0.0  turn     doubled back 270°
   0.0  near     delivery_van at (71,153), 150px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 82
   0.0  near     delivery_van at (71,153), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 81
   0.0  ahead    cat_dash crosses 332px in front of her at (70,156)
   0.0  near     delivery_van at (71,153), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 80
   0.0  near     delivery_van at (71,150), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 81
   0.0  near     delivery_van at (71,153), 44px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 81
   0.0  near     cafe_tables at (68,155), 63px, exc 0, in 0.0/s (crowd 0.0, events 0.8), sleep 65
   0.0  turn     doubled back 225°
   0.0  shot     asked for a picture at (69,155) | exc 0, sleep 66 | playing
   0.0  shot     asked for a picture at (68,157) | exc 0, sleep 66 | playing
   0.0  near     cafe_tables at (66,159), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.3), sleep 66
   0.0  shot     asked for a picture at (67,157) | exc 0, sleep 66 | playing
   0.0  shot     asked for a picture at (67,157) | exc 0, sleep 66 | playing
   0.0  shot     asked for a picture at (67,157) | exc 0, sleep 63 | playing
