nappy run log  2026-09-20T18:25:17  version v0.14.0-8-g13493987
  29.2  frame    fps 120, worst frame 16.7ms, draws 452, objects 2258, primitives 5179, process 10.84ms, physics 1.32ms
  30.0  path     off the corridor at (59,117), after 12.4s on it
  30.0  cross    stepped into the road at (59,117), at a zebra
  30.0  near     delivery_van at (57,121), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 8
  30.1  crowd    a car sounded its horn at her in the road at (59,117) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 8
  30.2  frame    fps 119, worst frame 16.7ms, draws 456, objects 2282, primitives 5251, process 15.77ms, physics 1.40ms
  30.4  near     market_stall at (57,118), 64px, exc 1, in 13.8/s (crowd 13.3, events 1.0), sleep 8
  30.7  cue      the mark over her head: soon for 0.5s (0.5s of it on the road) | a car, and she is in the road
  31.2  frame    fps 119, worst frame 25.0ms, draws 646, objects 2769, primitives 6393, process 16.22ms, physics 1.42ms
  31.4  path     onto the corridor at (55,117), after 1.4s off it
  32.2  frame    fps 112, worst frame 10.1ms, draws 486, objects 2352, primitives 5631, process 24.66ms, physics 1.65ms
  33.2  frame    fps 120, worst frame 16.7ms, draws 486, objects 2369, primitives 5644, process 10.08ms, physics 1.40ms
  34.2  frame    fps 119, worst frame 16.7ms, draws 492, objects 2379, primitives 5739, process 15.84ms, physics 1.55ms
  34.7  turn     doubled back 90°
  35.2  frame    fps 119, worst frame 8.3ms, draws 483, objects 2371, primitives 5633, process 15.69ms, physics 1.37ms
  36.3  frame    fps 116, worst frame 16.7ms, draws 646, objects 2719, primitives 6320, process 16.35ms, physics 1.78ms
  36.6  turn     doubled back 270°
  37.3  frame    fps 119, worst frame 16.7ms, draws 486, objects 2373, primitives 5661, process 15.77ms, physics 1.30ms
  38.2  path     off the corridor at (47,117), after 6.9s on it
  38.3  frame    fps 119, worst frame 16.7ms, draws 470, objects 2349, primitives 5411, process 15.56ms, physics 1.37ms
  38.9  cross    stepped into the road at (45,117), at a signalled crossing
  39.3  frame    fps 120, worst frame 8.3ms, draws 468, objects 2345, primitives 5376, process 10.38ms, physics 1.56ms
  39.6  path     onto the corridor at (43,117), after 1.4s off it
  40.3  frame    fps 118, worst frame 16.7ms, draws 636, objects 2693, primitives 6000, process 15.51ms, physics 1.47ms
  41.3  frame    fps 117, worst frame 25.0ms, draws 645, objects 2707, primitives 6148, process 16.33ms, physics 1.55ms
  42.3  frame    fps 117, worst frame 8.3ms, draws 470, objects 2337, primitives 5367, process 24.12ms, physics 1.41ms
  43.3  frame    fps 119, worst frame 16.7ms, draws 457, objects 2341, primitives 5201, process 16.13ms, physics 1.58ms
  43.9  path     off the corridor at (31,116), after 4.2s on it
  43.9  cross    stepped into the road at (31,116), at a zebra
  44.3  frame    fps 119, worst frame 16.7ms, draws 451, objects 2307, primitives 5088, process 16.48ms, physics 1.56ms
  44.8  path     onto the corridor at (31,113), after 1.0s off it
  45.3  frame    fps 116, worst frame 25.0ms, draws 466, objects 2064, primitives 4776, process 24.05ms, physics 1.40ms
  46.3  frame    fps 117, worst frame 25.0ms, draws 458, objects 2076, primitives 4698, process 24.21ms, physics 1.51ms
  47.3  frame    fps 115, worst frame 25.0ms, draws 460, objects 2052, primitives 4677, process 23.89ms, physics 1.41ms
  48.4  frame    fps 119, worst frame 16.7ms, draws 285, objects 1748, primitives 4139, process 15.51ms, physics 1.41ms
  48.5  path     off the corridor at (32,103), after 3.6s on it
  49.4  frame    fps 120, worst frame 8.3ms, draws 398, objects 2226, primitives 5067, process 10.85ms, physics 1.42ms
  49.5  path     onto the corridor at (31,102), after 1.0s off it
  49.5  cross    stepped into the road at (31,102), at a zebra
  50.4  path     off the corridor at (29,101), after 0.8s on it
  50.4  frame    fps 119, worst frame 25.0ms, draws 401, objects 2212, primitives 5084, process 15.64ms, physics 1.43ms
  50.6  ahead    cat_dash crosses 332px in front of her at (29,100)
  50.8  near     delivery_van at (24,99), 148px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 16
  50.9  crowd    a car sounded its horn at her in the road at (28,100) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 16
  51.0  path     onto the corridor at (28,99), after 0.6s off it
  51.0  cue      the mark over her head: soon for 0.0s (0.0s of it on the road) | a car, and she is in the road
  51.3  path     off the corridor at (27,99), after 0.3s on it
  51.4  frame    fps 116, worst frame 16.7ms, draws 412, objects 2239, primitives 5255, process 25.68ms, physics 1.59ms
  52.0  path     away from the corridor at (26,97), after 0.7s off it
  52.0  calm     entered residential (1,7), sleep 17
  52.4  frame    fps 119, worst frame 16.7ms, draws 549, objects 2318, primitives 5317, process 15.48ms, physics 1.64ms
  53.4  frame    fps 120, worst frame 16.7ms, draws 546, objects 2247, primitives 5126, process 10.40ms, physics 1.43ms
  53.8  near     cat_dash at (24,90), 118px, exc 0, in 14.1/s (crowd 0.0, events 14.3), sleep 40
  54.0  near     cat_dash at (23,92), 63px, exc 1, in 16.8/s (crowd 0.0, events 16.9), sleep 42
  54.1  near     cat_dash at (22,92), 35px, exc 2, in 17.0/s (crowd 0.0, events 17.0), sleep 44
  54.2  near     cat_dash at (22,92), 17px, exc 2, in 17.0/s (crowd 0.0, events 17.0), sleep 45
  54.4  frame    fps 118, worst frame 16.7ms, draws 403, objects 1919, primitives 4566, process 16.50ms, physics 1.82ms
  55.4  frame    fps 119, worst frame 16.7ms, draws 556, objects 2309, primitives 5320, process 15.50ms, physics 1.40ms
  56.4  frame    fps 120, worst frame 8.3ms, draws 239, objects 1640, primitives 4088, process 11.03ms, physics 1.63ms
  57.3  near     playground at (22,81), 150px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 84
  57.4  frame    fps 116, worst frame 25.0ms, draws 573, objects 2485, primitives 5723, process 23.85ms, physics 1.42ms
  58.4  frame    fps 119, worst frame 16.7ms, draws 406, objects 2103, primitives 4914, process 15.66ms, physics 1.45ms
  58.6  calm     settled in the calm block (1,5); tomorrow will know
  58.6  asleep   asleep after 58.6s, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  59.3  turn     doubled back 225°
  59.4  frame    fps 120, worst frame 16.7ms, draws 324, objects 1906, primitives 4671, process 15.39ms, physics 1.54ms
  60.4  frame    fps 118, worst frame 8.3ms, draws 249, objects 1558, primitives 3996, process 16.77ms, physics 1.32ms
  61.5  frame    fps 119, worst frame 16.7ms, draws 248, objects 1677, primitives 4213, process 15.03ms, physics 1.43ms
  62.4  near     playground at (22,81), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  62.5  frame    fps 119, worst frame 16.7ms, draws 575, objects 2509, primitives 5753, process 15.58ms, physics 1.29ms
  63.5  frame    fps 120, worst frame 8.3ms, draws 564, objects 2383, primitives 5432, process 10.71ms, physics 1.38ms
  64.5  frame    fps 119, worst frame 16.7ms, draws 408, objects 2125, primitives 4946, process 15.38ms, physics 1.40ms
  65.1  ahead    loose_dog comes at her from 0px in front of her at (27,86)
  65.5  frame    fps 119, worst frame 16.7ms, draws 268, objects 1746, primitives 4226, process 15.12ms, physics 1.42ms
  65.5  near     loose_dog (telegraph) at (27,92), 139px, exc 0, in 0.8/s (crowd 0.0, events 1.5), sleep 100
  65.8  near     loose_dog (telegraph) at (27,91), 74px, exc 0, in 2.3/s (crowd 0.0, events 4.2), sleep 100
  65.9  near     loose_dog (telegraph) at (27,90), 40px, exc 0, in 2.9/s (crowd 0.0, events 5.3), sleep 100
  66.1  near     loose_dog (telegraph) at (27,90), 22px, exc 0, in 3.1/s (crowd 0.0, events 5.7), sleep 100
  66.5  frame    fps 120, worst frame 16.7ms, draws 590, objects 2394, primitives 5593, process 11.09ms, physics 1.45ms
  67.5  frame    fps 119, worst frame 8.3ms, draws 583, objects 2389, primitives 5822, process 15.84ms, physics 1.33ms
  68.2  near     delivery_van at (24,99), 147px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  68.5  frame    fps 119, worst frame 16.7ms, draws 567, objects 2368, primitives 5597, process 15.86ms, physics 1.36ms
  69.1  near     delivery_van at (24,99), 80px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  69.5  frame    fps 119, worst frame 16.7ms, draws 431, objects 2262, primitives 5508, process 15.73ms, physics 1.51ms
  69.5  path     off the corridor at (26,98), after 17.6s away it
  69.5  left     left residential (1,7), sleep 100
  69.6  near     delivery_van at (24,102), 149px, exc 0, in 2.3/s (crowd 4.2, events 0.0), sleep 100
  69.6  crowd    walked into somebody at (26,98) | exc 0, in 2.3/s (crowd 22.2, events 0.0), sleep 100
  70.4  cross    stepped into the road at (27,100), mid-block
  70.5  frame    fps 120, worst frame 16.7ms, draws 417, objects 2256, primitives 5322, process 10.64ms, physics 1.31ms
  70.7  crowd    a car sounded its horn at her in the road at (28,100) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  71.4  path     onto the corridor at (29,102), after 1.9s off it
  71.4  cue      the mark over her head: soon for 0.7s (0.7s of it on the road) | a car, and she is in the road
  71.5  cross    stepped into the road at (30,102), at a zebra
  71.5  frame    fps 118, worst frame 16.7ms, draws 285, objects 1791, primitives 4174, process 16.51ms, physics 1.53ms
  72.3  path     off the corridor at (32,102), after 0.9s on it
  72.3  cue      the mark over her head: soon for 0.8s (0.8s of it on the road) | a car, and she is in the road
  72.5  frame    fps 119, worst frame 16.7ms, draws 301, objects 1790, primitives 4367, process 15.42ms, physics 1.48ms
  72.8  crowd    walked into somebody at (33,103) | exc 0, in 2.3/s (crowd 22.2, events 0.0), sleep 100
  73.2  path     onto the corridor at (34,102), after 0.9s off it
  73.6  frame    fps 120, worst frame 16.7ms, draws 301, objects 1795, primitives 4383, process 10.79ms, physics 1.39ms
  74.6  frame    fps 119, worst frame 8.3ms, draws 398, objects 2153, primitives 5293, process 15.64ms, physics 1.35ms
  75.6  frame    fps 119, worst frame 16.7ms, draws 394, objects 2147, primitives 5239, process 15.53ms, physics 1.36ms
  76.0  path     off the corridor at (42,103), after 2.8s on it
